regime,qqq_cagr,qqq_dd,纯QQQ_final,持有TQQQ_final,TQQQ+SMA全程_final,组合_final,纯QQQ_dd,持有TQQQ_dd,TQQQ+SMA全程_dd,组合_dd
有大跌/震荡,14.335276321056089,-40.89243516528738,852533.1914247905,624285.0458956072,1058179.1023921177,2992005.142387207,-39.393585545600395,-88.3077592761738,-72.09576075820527,-52.55668064053418
有大跌/震荡,10.093902785377185,-53.07149671126407,911259.598963625,1682637.9429500296,3139297.8847633596,2412588.6778857177,-38.938807358367896,-85.20574666047496,-57.3055349720784,-47.337259207272666
有大跌/震荡,7.505173096677797,-52.503364006741805,649178.1826563709,401243.2179076671,1443538.0339642202,1436908.4247503967,-49.46886309279015,-93.93944455567524,-75.34124578024675,-75.34124578024675
有大跌/震荡,4.029177502015302,-50.228741371622476,470086.4397614665,181260.2499736676,231779.3491381289,600631.9294279407,-42.92774409882061,-88.20237662113864,-72.41257463445264,-59.80127342539887
有大跌/震荡,10.004370614731052,-62.38785358584917,498749.95666211634,75781.20784039998,697025.1022815586,415281.2154458597,-53.68766592101403,-96.9025108719555,-81.07452997227867,-81.07452997227867
强劲平稳,15.529413081216891,-31.88773668646333,1199164.1091673141,3983337.4958245857,1903244.3467374793,1767386.4827272252,-31.887788026126408,-73.46189598729713,-62.07738201361317,-55.09236877841428
有大跌/震荡,-4.868408809598101,-77.42669221197455,203045.74896557225,11711.15916049838,44007.4346271126,111145.26631840966,-52.84246003078095,-97.47180982549446,-86.76842093077897,-71.73076867984682
有大跌/震荡,17.979145874915915,-39.35965996284479,1115801.1273797364,1353339.9441752397,614011.9318320301,1067891.6759517496,-36.12899861877638,-86.05958732214044,-79.99840512649678,-63.63571814572604
有大跌/震荡,1.4014751502813505,-67.82703785070589,683813.8901780598,580395.9633367027,1609285.2899625124,633391.839403391,-40.38072781891724,-85.20218797374544,-67.11849653671315,-67.11849653671315
有大跌/震荡,10.149171327426632,-55.16898368892073,537512.712391807,165818.01291886895,686716.4270904884,964643.3943825774,-55.062727332370855,-96.22763436410676,-81.09731518557378,-79.88681443375461
有大跌/震荡,5.473238052450902,-64.40309246208484,413430.15220234904,49539.4280366963,147375.81820883552,505851.4613316635,-63.9858267129619,-98.41729176902298,-90.49737015139799,-63.9858267129619
有大跌/震荡,6.039825176482516,-70.13193004853136,862760.067243016,1549070.7151450517,1526899.628907618,1715332.7216548193,-41.963217739562864,-88.88043015858985,-63.66490240439164,-52.57397933461026
有大跌/震荡,0.2697639931509066,-71.08047594541137,313854.5221806026,26236.819453055483,230939.71431658167,278314.32626812824,-64.9735280463881,-98.69519761364896,-84.64227456704401,-73.61151933883066
有大跌/震荡,6.0851739422595585,-44.35126368552101,724330.1738850919,609391.769471154,745462.3080773869,460709.80915519345,-44.251094773226576,-86.52604806258837,-66.85255868910434,-66.85255868910434
有大跌/震荡,1.3437547825754237,-62.44829602673712,523914.6619212768,387947.5084147093,687486.8074672564,503168.82626803924,-44.48928961704601,-87.86749646276988,-61.961111375032644,-61.961111375032644
有大跌/震荡,-4.432999314118124,-79.99104188030692,260687.6616142909,22887.98891975074,93948.3134563531,159224.91334650252,-54.00314519173563,-94.65565951228974,-81.63820553927371,-73.85833716235697
强劲平稳,17.99949670008507,-27.721263671409545,888091.0358369459,1329341.6202651544,417162.40301271033,660332.3159913437,-25.035679166018387,-73.70685055293342,-87.35279395724197,-67.74697658348185
有大跌/震荡,7.581737224597673,-37.21513012577594,659670.9986879439,451551.41331068263,191255.76771628534,257730.3993774958,-27.889935640659193,-71.24617955203598,-67.10813553325086,-67.10813553325086
有大跌/震荡,4.582411874077064,-57.899644203635646,669983.0743526475,315132.11162100045,453795.893627447,359011.79673061165,-37.634810772180835,-93.99010318296202,-78.94727750841656,-72.79278202903787
有大跌/震荡,5.260668354195075,-68.45693866083889,886049.6571606928,1120321.2897228834,829851.4891492727,503018.69474753184,-38.67234001976209,-82.66101428058936,-69.37937337780097,-69.37937337780097
有大跌/震荡,6.058994760542391,-50.857283082389415,597626.6622166419,308443.1279478039,583287.1565685237,372099.6513972594,-43.07822571066788,-88.98648592496399,-64.97307943841622,-62.84199621125468
有大跌/震荡,0.4218525862930145,-81.86264136469154,602911.0156265748,1085386.2123600524,1368677.229993299,458226.2495380253,-40.2153819681208,-91.72478014703701,-51.768569330927164,-50.08448139880105
有大跌/震荡,-2.3911133486477776,-55.13705377949149,422340.9404205018,120438.44981007866,113756.18780886469,247858.86661381935,-35.52119953977777,-87.1603551583278,-84.72224259648057,-60.24992214306722
有大跌/震荡,11.487538514378182,-39.98311213113256,778846.3020934144,755402.5840906969,548058.410810281,458023.33298468235,-31.18251107648439,-79.29492409809905,-72.31010084370615,-51.27235420581524
有大跌/震荡,15.226319469774863,-43.574257201271664,1054096.6953603264,1112387.7436973623,1502803.851577845,746703.5490657362,-42.39679106706743,-87.9670197163237,-73.50048258295097,-73.50048258295097
